Variant,Sec,Date,Time,Qty,BuySell,TradePrice,execNext, execAvg, execBest, execWorst
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121824,-1,S,48430.0,48430.0,48430.0,48430.0,48430.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121961,1,B,47830.0,47830.0,47830.0,47830.0,47830.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121962,1,B,47805.0,47805.0,47805.0,47805.0,47805.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122003,-1,S,47540.0,47540.0,47540.0,47540.0,47540.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122004,-1,S,47500.0,47500.0,47500.0,47500.0,47500.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122022,1,B,47575.0,47575.0,47575.0,47575.0,47575.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122023,1,B,47575.0,47575.0,47575.0,47575.0,47575.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122239,-1,S,47710.0,47710.0,47710.0,47710.0,47710.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122240,-1,S,47725.0,47725.0,47725.0,47725.0,47725.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122340,1,B,48100.0,48100.0,48100.0,48100.0,48100.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122341,1,B,48130.0,48130.0,48130.0,48130.0,48130.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122388,-1,S,48200.0,48200.0,48200.0,48200.0,48200.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122389,-1,S,48200.0,48200.0,48200.0,48200.0,48200.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122779,1,B,48150.0,48150.0,48150.0,48150.0,48150.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122780,1,B,48150.0,48150.0,48150.0,48150.0,48150.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482123196,-1,S,47685.0,47685.0,47685.0,47685.0,47685.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482123197,-1,S,47695.0,47695.0,47695.0,47695.0,47695.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482124284,1,B,47710.0,47710.0,47710.0,47710.0,47710.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482124285,1,B,47710.0,47710.0,47710.0,47710.0,47710.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482124401,-1,S,47860.0,47860.0,47860.0,47860.0,47860.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482124402,-1,S,47870.0,47870.0,47870.0,47870.0,47870.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482127741,1,B,47970.0,47970.0,47970.0,47970.0,47970.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482127742,1,B,47900.0,47900.0,47900.0,47900.0,47900.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482127932,-1,S,47925.0,47925.0,47925.0,47925.0,47925.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482127933,-1,S,47925.0,47925.0,47925.0,47925.0,47925.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482128044,1,B,48140.0,48140.0,48140.0,48140.0,48140.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482128045,1,B,48150.0,48150.0,48150.0,48150.0,48150.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482128114,-1,S,47990.0,47990.0,47990.0,47990.0,47990.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482128115,-1,S,47985.0,47985.0,47985.0,47985.0,47985.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482129249,1,B,48110.0,48110.0,48110.0,48110.0,48110.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482129250,1,B,48110.0,48110.0,48110.0,48110.0,48110.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482129384,-1,S,48420.0,48420.0,48420.0,48420.0,48420.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482129385,-1,S,48430.0,48430.0,48430.0,48430.0,48430.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482132446,1,B,48290.0,48290.0,48290.0,48290.0,48290.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482132448,1,B,48270.0,48270.0,48270.0,48270.0,48270.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482133103,-1,S,48425.0,48425.0,48425.0,48425.0,48425.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482133105,-1,S,48430.0,48430.0,48430.0,48430.0,48430.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482137820,1,B,48075.0,48075.0,48075.0,48075.0,48075.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482137821,1,B,48080.0,48080.0,48080.0,48080.0,48080.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482141202,-1,S,48155.0,48155.0,48155.0,48155.0,48155.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482141203,-1,S,48150.0,48150.0,48150.0,48150.0,48150.0
5_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482142569,1,B,48040.0,48040.0,48040.0,48040.0,48040.0
