Variant,Sec,Date,Time,Qty,BuySell,TradePrice,execNext, execAvg, execBest, execWorst
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121824,-1,S,48430.0,48430.0,48430.0,48430.0,48430.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121909,1,B,48100.0,48100.0,48100.0,48100.0,48100.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121910,1,B,48105.0,48105.0,48105.0,48105.0,48105.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121921,-1,S,47825.0,47825.0,47825.0,47825.0,47825.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121922,-1,S,47865.0,47865.0,47865.0,47865.0,47865.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121951,1,B,47770.0,47770.0,47770.0,47770.0,47770.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121952,1,B,47720.0,47720.0,47720.0,47720.0,47720.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122003,-1,S,47540.0,47540.0,47540.0,47540.0,47540.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122004,-1,S,47500.0,47500.0,47500.0,47500.0,47500.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122154,1,B,47650.0,47650.0,47650.0,47650.0,47650.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122155,1,B,47650.0,47650.0,47650.0,47650.0,47650.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122225,-1,S,47650.0,47650.0,47650.0,47650.0,47650.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122226,-1,S,47650.0,47650.0,47650.0,47650.0,47650.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122236,1,B,47745.0,47745.0,47745.0,47745.0,47745.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122237,1,B,47715.0,47715.0,47715.0,47715.0,47715.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122277,-1,S,47670.0,47670.0,47670.0,47670.0,47670.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122278,-1,S,47655.0,47655.0,47655.0,47655.0,47655.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122340,1,B,48100.0,48100.0,48100.0,48100.0,48100.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122341,1,B,48130.0,48130.0,48130.0,48130.0,48130.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122358,-1,S,48135.0,48135.0,48135.0,48135.0,48135.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122359,-1,S,48205.0,48205.0,48205.0,48205.0,48205.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122374,1,B,48220.0,48220.0,48220.0,48220.0,48220.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122375,1,B,48200.0,48200.0,48200.0,48200.0,48200.0
21_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122420,-1,S,48030.0,48030.0,48030.0,48030.0,48030.0
