Variant,Sec,Date,Time,Qty,BuySell,TradePrice,execNext, execAvg, execBest, execWorst
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121846,-1,S,48360.0,48360.0,48360.0,48360.0,48360.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121909,1,B,48100.0,48100.0,48100.0,48100.0,48100.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121910,1,B,48105.0,48105.0,48105.0,48105.0,48105.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121921,-1,S,47825.0,47825.0,47825.0,47825.0,47825.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121922,-1,S,47865.0,47865.0,47865.0,47865.0,47865.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121961,1,B,47830.0,47830.0,47830.0,47830.0,47830.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121962,1,B,47805.0,47805.0,47805.0,47805.0,47805.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122003,-1,S,47540.0,47540.0,47540.0,47540.0,47540.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122004,-1,S,47500.0,47500.0,47500.0,47500.0,47500.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122154,1,B,47650.0,47650.0,47650.0,47650.0,47650.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122155,1,B,47650.0,47650.0,47650.0,47650.0,47650.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122225,-1,S,47650.0,47650.0,47650.0,47650.0,47650.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122226,-1,S,47650.0,47650.0,47650.0,47650.0,47650.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122236,1,B,47745.0,47745.0,47745.0,47745.0,47745.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122237,1,B,47715.0,47715.0,47715.0,47715.0,47715.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122277,-1,S,47670.0,47670.0,47670.0,47670.0,47670.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122278,-1,S,47655.0,47655.0,47655.0,47655.0,47655.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122340,1,B,48100.0,48100.0,48100.0,48100.0,48100.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122341,1,B,48130.0,48130.0,48130.0,48130.0,48130.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122420,-1,S,48030.0,48030.0,48030.0,48030.0,48030.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122421,-1,S,48035.0,48035.0,48035.0,48035.0,48035.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122436,1,B,48090.0,48090.0,48090.0,48090.0,48090.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122437,1,B,48140.0,48140.0,48140.0,48140.0,48140.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122610,-1,S,48445.0,48445.0,48445.0,48445.0,48445.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122611,-1,S,48415.0,48415.0,48415.0,48415.0,48415.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122701,1,B,48335.0,48335.0,48335.0,48335.0,48335.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122702,1,B,48270.0,48270.0,48270.0,48270.0,48270.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122730,-1,S,48175.0,48175.0,48175.0,48175.0,48175.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122731,-1,S,48135.0,48135.0,48135.0,48135.0,48135.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122779,1,B,48150.0,48150.0,48150.0,48150.0,48150.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122780,1,B,48150.0,48150.0,48150.0,48150.0,48150.0
34_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122806,-1,S,48025.0,48025.0,48025.0,48025.0,48025.0
