Variant,Sec,Date,Time,Qty,BuySell,TradePrice,execNext, execAvg, execBest, execWorst
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121824,-1,S,48430.0,48430.0,48430.0,48430.0,48430.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121909,1,B,48100.0,48100.0,48100.0,48100.0,48100.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121910,1,B,48105.0,48105.0,48105.0,48105.0,48105.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121921,-1,S,47825.0,47825.0,47825.0,47825.0,47825.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121922,-1,S,47865.0,47865.0,47865.0,47865.0,47865.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121951,1,B,47770.0,47770.0,47770.0,47770.0,47770.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121952,1,B,47720.0,47720.0,47720.0,47720.0,47720.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122003,-1,S,47540.0,47540.0,47540.0,47540.0,47540.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122004,-1,S,47500.0,47500.0,47500.0,47500.0,47500.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122154,1,B,47650.0,47650.0,47650.0,47650.0,47650.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122155,1,B,47650.0,47650.0,47650.0,47650.0,47650.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122277,-1,S,47670.0,47670.0,47670.0,47670.0,47670.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122278,-1,S,47655.0,47655.0,47655.0,47655.0,47655.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122340,1,B,48100.0,48100.0,48100.0,48100.0,48100.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122341,1,B,48130.0,48130.0,48130.0,48130.0,48130.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122358,-1,S,48135.0,48135.0,48135.0,48135.0,48135.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122359,-1,S,48205.0,48205.0,48205.0,48205.0,48205.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122436,1,B,48090.0,48090.0,48090.0,48090.0,48090.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122437,1,B,48140.0,48140.0,48140.0,48140.0,48140.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122610,-1,S,48445.0,48445.0,48445.0,48445.0,48445.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122611,-1,S,48415.0,48415.0,48415.0,48415.0,48415.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122714,1,B,48245.0,48245.0,48245.0,48245.0,48245.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122715,1,B,48235.0,48235.0,48235.0,48235.0,48235.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122730,-1,S,48175.0,48175.0,48175.0,48175.0,48175.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122731,-1,S,48135.0,48135.0,48135.0,48135.0,48135.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122779,1,B,48150.0,48150.0,48150.0,48150.0,48150.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122780,1,B,48150.0,48150.0,48150.0,48150.0,48150.0
13_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122796,-1,S,48090.0,48090.0,48090.0,48090.0,48090.0
